,LH_VIS_mean,RH_VIS_mean,LH_SMN_mean,RH_SMN_mean,LH_DAN_mean,RH_DAN_mean,LH_VAN_mean,RH_VAN_mean,LH_LIM_mean,RH_LIM_mean,LH_FPN_mean,RH_FPN_mean,LH_DMN_mean,RH_DMN_mean
0,-39.64136790662942,-24.44313157089842,1.1374806558201414,1.9393090086100049,-35.673033907832405,-71.96598855683182,-23.00547658344662,-87.2306230672127,-5.031616502727409,-8.411690442481351,-15.612271448934191,-57.59203935289028,81.76314980379017,16.70165638114726
1,-54.507849627546264,-55.71636858862391,-40.50899530339706,-32.630610036853675,-66.89264883675753,-117.57079117310381,-65.90821046776513,-149.14167433965062,-12.383520582785446,1.8173350140548372,-23.2389275604223,-76.8118148561775,60.86056852725431,8.816820108356364
2,-74.06641232261106,-80.4195292683338,-55.092864480437925,-58.10683406493502,-90.13718815905662,-145.8706258506145,-82.88967979245545,-166.31136786109101,-8.219238168131952,-9.73178860774894,-51.08540418396707,-112.56428988126451,38.80862202505469,-6.189274505377809
3,-55.59845304990888,-59.57096431279705,-38.88691814310607,-43.67123081513735,-73.33628172138268,-122.752092262505,-65.91249743398734,-140.0999269274545,-10.081872056763826,2.3310435510402137,-30.344220337483552,-105.11090148237386,24.941684934529828,-3.391676047495144
4,-61.66397980417777,-55.826433999905774,-57.952488275925795,-52.21812685819711,-56.89372379578517,-87.99755868880482,-75.50727811572845,-118.39937142000524,-17.43469755114553,-3.74828644273334,-37.058155024034846,-95.61804988057716,-0.7659327666483204,-4.0920912170364065
5,-46.83779762457818,-51.66260110521705,-48.771051463599726,-59.350360031235944,-46.803478491885826,-80.12416755701338,-61.79772038358461,-106.0981904241643,-22.063316808551594,-2.0202713704036146,-25.516748921404048,-78.49357048848063,-19.02174014506857,-8.41415835704929
6,-41.41313527036789,-30.958646882008775,-38.08811879709348,-40.939419367189814,-33.41506635410505,-63.10830672507692,-52.28562946102473,-99.00728475171206,-15.877817158699573,15.128400279501461,-24.74549409260044,-73.0711447712388,-23.31840225052129,-13.398174212886694
7,-38.32707922428624,-30.712933501487964,-26.67357361336285,-39.882669345254506,-26.62609934937904,-60.74089487974634,-34.010504489143706,-70.24689118051029,-19.058266612249238,-1.6752225961457654,-24.732738834098956,-71.37390954544475,-37.9847286391185,-35.619206173049626
8,-29.821992644016834,-23.676540960727777,-9.935442616155203,-20.336492303674223,-23.201498135290603,-62.08206567027511,-14.814178407058696,-64.04437284936476,-18.583631809255056,-15.411126036458333,-6.001845689899846,-63.300689205531384,-38.72698636306168,-44.813506366016604
9,-43.23027036192254,-45.296946789442174,-24.594475927130542,-33.648723820797855,-24.695833242500306,-60.532923664244,-26.823891949234078,-72.1978712964153,-0.9160329584502483,-19.386414056463813,-27.80939093274055,-65.17232592348991,-39.331777195243696,-50.71868336484583
10,-56.54801964433298,-49.54707064101447,-43.14694196854094,-66.4263140026065,-21.318910590950274,-39.06962164968023,-31.167695321323688,-49.695166861685934,-20.227896861400488,-11.922481351932447,-15.184077678617626,-39.312182421339266,-59.56101358372588,-59.40908995317407
