,LH_VIS_mean,RH_VIS_mean,LH_SMN_mean,RH_SMN_mean,LH_DAN_mean,RH_DAN_mean,LH_VAN_mean,RH_VAN_mean,LH_LIM_mean,RH_LIM_mean,LH_FPN_mean,RH_FPN_mean,LH_DMN_mean,RH_DMN_mean
0,-43.16225084212911,-59.523755169027694,-117.54692462442863,-121.57356439951755,-31.82493886409879,-26.36113804276256,-11.72735861328456,-21.844802588490047,-17.20421641984588,-3.6983406282204703,19.281811342932833,9.422023557022477,-29.864772008120745,-32.56427430464317
1,-58.744643839515334,-79.48967278351972,-88.13308735105342,-111.61376095118113,-50.73513219953649,-64.36922639787325,-26.423840398669146,-34.40621364868738,-21.25163706720978,-14.469357322866898,-31.215121973987657,-20.844090103794038,-34.61578215438306,-38.49665641479117
2,-100.44874334378495,-146.27644121287634,-98.91104810290032,-128.62446660643423,-84.0261621445152,-109.05431698497016,-52.287622365703825,-70.08578078063779,-24.185403230097297,-39.98889124165613,-53.92973005568964,-58.037863488417685,-27.00159106673254,-57.024517373356865
3,-110.93858720800287,-128.68244745866474,-137.03275927886307,-174.12727134949301,-96.96170809390395,-125.61408639888971,-74.98773879258745,-123.19099475376314,-31.33822721448024,-41.765271566520454,-80.18407095923286,-77.30739830827365,-50.44190192867026,-76.22974571932929
4,-109.80089279967436,-110.78503295061051,-113.93600544007052,-140.29602924097108,-107.45163680871786,-101.17484798369775,-83.9203755267639,-102.1073601312108,-12.298861756580898,-17.925465114324325,-86.22057991761133,-68.46524142880278,-52.39214799372853,-54.61065768434143
5,-145.55701326302224,-147.30451599145104,-120.24905123772162,-150.26691996551997,-124.49823089025482,-125.15544298889833,-94.7558491425234,-136.12728870464827,-16.766688623162306,-12.181501557403756,-103.25640254604578,-75.70313778554795,-50.22286390340231,-53.02190382952601
6,-150.27963500367778,-136.76708247620684,-117.77773259679559,-136.9736878189684,-131.9064938549129,-110.89754085127889,-104.35658723427069,-122.02558915704917,2.089418724748763,-10.546589598072272,-109.78152772484114,-79.71155365902558,-67.26852459891384,-66.00000467090796
7,-153.90262043968684,-138.15850816762966,-83.7884127430348,-97.0386062154155,-115.63745508789859,-88.60647617451649,-84.31836092207651,-94.4131173035241,-17.883896410202816,-16.870430438235108,-103.4110038937952,-57.36012997240326,-55.41626738914631,-57.474069264528815
8,-198.7942730471825,-202.18093669979683,-107.368826168054,-117.68599122289885,-123.82213740768567,-126.82227574238865,-91.2486295175007,-99.66607336777813,5.606163250907506,-11.887336686121749,-97.51808483800357,-58.695909511324736,-68.67547881632697,-54.576173182948516
9,-196.59777108415707,-196.34513275090015,-129.2569618750253,-140.88697314617184,-121.55638744772772,-128.19099287396972,-110.8711462097068,-110.68490450312872,-29.057441126856762,-11.735306481069065,-97.2207688810131,-68.83794314579046,-80.83602858401342,-59.543033422633535
10,-166.1794927295963,-181.4691857854892,-75.97771777399181,-115.02710153992531,-111.02930430509632,-117.2831361438964,-89.38103925430198,-88.69811530845239,-18.806949554346698,-5.878465478506417,-108.39966505215219,-63.40219275322137,-78.09580072745538,-45.92751755250112
11,-180.60420867945652,-172.65055637447603,-57.38036454547274,-95.18056877328299,-119.71466774864389,-110.9996035745323,-79.53056000720095,-81.69986141283536,-2.7830827407164542,-1.4008303163607994,-103.82773679159119,-60.3131781377518,-67.37305212234298,-30.136475883254683
12,-148.06325761246387,-153.37397797513313,-57.91687536650329,-99.2861688674294,-119.74845275345591,-109.52962287009692,-89.46213594318827,-95.40782809658553,-13.797985306086522,-5.259490701431981,-104.23706137983409,-55.25617396410199,-60.874528646382224,-30.250830639113325
13,-110.84136463438884,-128.99758400548566,-9.117455634278041,-56.55376632519523,-102.5772337723644,-99.24626301713896,-67.1459834091779,-70.55417256091394,-8.923777315833311,1.4437043069590616,-110.31309150625123,-45.3470136772975,-48.89082377752475,-16.130063841009118
14,-103.58020475431945,-119.98767069871026,-7.563691822154815,-48.32469649621314,-92.5491416493275,-88.80363713137464,-46.92989892213037,-63.63435837363983,-10.626755648302652,0.41798544505496205,-96.69217546048236,-49.15584676390998,-50.73904129652431,-35.888829844336655
15,-70.96028229258566,-84.64293884212088,22.11019184321589,-13.7566346416616,-65.25677214327884,-74.06654403673782,-7.822354897964226,-17.110814948896294,-14.673423887405095,0.660767223962454,-53.62035366817591,-42.47944935880107,-19.763439167355997,-13.458674755698826
16,-73.22113530955524,-95.22423024056917,-1.032159919107918,-25.02507248267245,-49.943350867036166,-68.10322921945446,7.671968468414552,-10.036821706669414,-4.584053404246727,-23.874999108706014,-58.60455900163841,-39.61735552622877,-34.74821782101027,-38.30209127389852
17,-48.50937859169048,-54.58564578844434,-25.691387234113204,-45.877919514767314,-20.080635117685304,-57.2989931132995,0.40382593187547755,0.5405565395188638,-16.07978235999477,-17.285306084511614,-41.7879105359795,-40.551352490070954,-38.05761087486313,-44.43389308601505
